,Date,monthly_return_per,president
253,1892-03-31,1.0869565217391397,Benjamin Harrison
254,1892-04-30,-0.17921146953404637,Benjamin Harrison
255,1892-05-31,0.0,Benjamin Harrison
256,1892-06-30,-0.5385996409335772,Benjamin Harrison
257,1892-07-31,0.0,Benjamin Harrison
258,1892-08-31,1.4440433212996402,Benjamin Harrison
259,1892-09-30,-2.4911032028469693,Benjamin Harrison
260,1892-10-31,2.0072992700729824,Benjamin Harrison
261,1892-11-30,-0.3577817531305827,Benjamin Harrison
262,1892-12-31,-1.0771992818671543,Benjamin Harrison
263,1893-01-31,1.8148820326678865,Benjamin Harrison
264,1893-02-28,-1.7825311942959097,Benjamin Harrison
265,1893-03-31,-3.629764065335757,Benjamin Harrison
266,1893-04-30,0.0,Grover Cleveland
267,1893-05-31,-8.851224105461391,Grover Cleveland
268,1893-06-30,-4.75206611570247,Grover Cleveland
269,1893-07-31,-9.327548806941444,Grover Cleveland
270,1893-08-31,-2.392344497607647,Grover Cleveland
271,1893-09-30,7.107843137254903,Grover Cleveland
272,1893-10-31,2.9748283752860387,Grover Cleveland
273,1893-11-30,1.555555555555562,Grover Cleveland
274,1893-12-31,-3.5010940919037226,Grover Cleveland
275,1894-01-31,-2.040816326530609,Grover Cleveland
276,1894-02-28,1.3888888888888797,Grover Cleveland
277,1894-03-31,2.9680365296803632,Grover Cleveland
278,1894-04-30,1.3303769401330487,Grover Cleveland
279,1894-05-31,-3.7199124726477004,Grover Cleveland
280,1894-06-30,-1.3636363636363749,Grover Cleveland
281,1894-07-31,-2.0737327188940062,Grover Cleveland
282,1894-08-31,3.7647058823529442,Grover Cleveland
283,1894-09-30,1.5873015873015939,Grover Cleveland
284,1894-10-31,-3.1250000000000124,Grover Cleveland
285,1894-11-30,0.0,Grover Cleveland
286,1894-12-31,-0.9216589861751161,Grover Cleveland
287,1895-01-31,-1.1627906976744147,Grover Cleveland
288,1895-02-28,-1.4117647058823437,Grover Cleveland
289,1895-03-31,0.0,Grover Cleveland
290,1895-04-30,4.2959427207637155,Grover Cleveland
291,1895-05-31,5.491990846681927,Grover Cleveland
292,1895-06-30,1.9522776572668081,Grover Cleveland
293,1895-07-31,0.4255319148936079,Grover Cleveland
294,1895-08-31,1.4830508474576332,Grover Cleveland
295,1895-09-30,0.6263048016701513,Grover Cleveland
296,1895-10-31,-1.4522821576763543,Grover Cleveland
297,1895-11-30,-3.3684210526315814,Grover Cleveland
298,1895-12-31,-5.882352941176461,Grover Cleveland
299,1896-01-31,-1.1574074074074239,Grover Cleveland
300,1896-02-29,4.215456674473082,Grover Cleveland
301,1896-03-31,-1.5730337078651748,Grover Cleveland
302,1896-04-30,0.9132420091324209,Grover Cleveland
303,1896-05-31,-0.4524886877827958,Grover Cleveland
304,1896-06-30,-1.8181818181818195,Grover Cleveland
305,1896-07-31,-6.481481481481486,Grover Cleveland
306,1896-08-31,-5.693069306930693,Grover Cleveland
307,1896-09-30,5.24934383202099,Grover Cleveland
308,1896-10-31,2.244389027431418,Grover Cleveland
309,1896-11-30,6.829268292682933,Grover Cleveland
310,1896-12-31,-3.6529680365296837,Grover Cleveland
311,1897-01-31,0.0,Grover Cleveland
312,1897-02-28,-0.9478672985782,Grover Cleveland
313,1897-03-31,0.23923444976078173,Grover Cleveland
314,1897-04-30,-3.102625298329374,William McKinley
315,1897-05-31,0.4926108374384351,William McKinley
316,1897-06-30,4.656862745098027,William McKinley
317,1897-07-31,4.449648711943803,William McKinley
318,1897-08-31,6.502242152466368,William McKinley
319,1897-09-30,4.842105263157904,William McKinley
320,1897-10-31,-3.2128514056224926,William McKinley
321,1897-11-30,-3.526970954356845,William McKinley
322,1897-12-31,2.1505376344085945,William McKinley
323,1898-01-31,2.7368421052631557,William McKinley
324,1898-02-28,-0.20491803278688087,William McKinley
325,1898-03-31,-4.517453798767962,William McKinley
326,1898-04-30,-1.720430107526883,William McKinley
327,1898-05-31,6.56455142231947,William McKinley
328,1898-06-30,3.901437371663234,William McKinley
329,1898-07-31,0.3952569169960566,William McKinley
330,1898-08-31,3.7401574803149504,William McKinley
331,1898-09-30,-0.18975332068310793,William McKinley
332,1898-10-31,-2.0912547528517003,William McKinley
333,1898-11-30,3.300970873786406,William McKinley
334,1898-12-31,6.203007518796993,William McKinley
335,1899-01-31,7.610619469026543,William McKinley
336,1899-02-28,3.7828947368420978,William McKinley
337,1899-03-31,1.4263074484944651,William McKinley
338,1899-04-30,1.250000000000001,William McKinley
339,1899-05-31,-4.166666666666673,William McKinley
340,1899-06-30,-2.254428341384858,William McKinley
341,1899-07-31,3.459637561779241,William McKinley
342,1899-08-31,2.5477707006369448,William McKinley
343,1899-09-30,-1.0869565217391348,William McKinley
344,1899-10-31,-0.47095761381476053,William McKinley
345,1899-11-30,1.89274447949527,William McKinley
346,1899-12-31,-6.81114551083592,William McKinley
347,1900-01-31,1.328903654485051,William McKinley
348,1900-02-28,1.8032786885245955,William McKinley
349,1900-03-31,0.8051529790660197,William McKinley
350,1900-04-30,1.2779552715654963,William McKinley
351,1900-05-31,-4.731861198738168,William McKinley
352,1900-06-30,-2.980132450331121,William McKinley
353,1900-07-31,0.0,William McKinley
354,1900-08-31,1.3651877133105812,William McKinley
355,1900-09-30,-2.356902356902366,William McKinley
356,1900-10-31,3.6206896551724133,William McKinley
357,1900-11-30,7.820299500831958,William McKinley
358,1900-12-31,6.018518518518514,William McKinley
359,1901-01-31,2.911208151382826,William McKinley
360,1901-02-28,2.545968882602542,William McKinley
361,1901-03-31,3.586206896551721,William McKinley
362,1901-04-30,8.388814913448746,William McKinley
363,1901-05-31,-5.036855036855038,William McKinley
364,1901-06-30,9.961190168175932,William McKinley
365,1901-07-31,-6.705882352941179,William McKinley
366,1901-08-31,1.387137452711216,William McKinley
367,1901-09-30,-0.4975124378109347,William McKinley
368,1901-10-31,-1.1249999999999982,Theodore Roosevelt
369,1901-11-30,2.149178255372945,Theodore Roosevelt
370,1901-12-31,-1.6089108910891077,Theodore Roosevelt
371,1902-01-31,2.1383647798742014,Theodore Roosevelt
372,1902-02-28,0.862068965517245,Theodore Roosevelt
373,1902-03-31,0.1221001221001195,Theodore Roosevelt
374,1902-04-30,3.4146341463414775,Theodore Roosevelt
375,1902-05-31,-0.23584905660376854,Theodore Roosevelt
376,1902-06-30,-0.5910165484633653,Theodore Roosevelt
377,1902-07-31,2.2592152199762126,Theodore Roosevelt
378,1902-08-31,2.674418604651168,Theodore Roosevelt
379,1902-09-30,0.2265005662514108,Theodore Roosevelt
380,1902-10-31,-3.1638418079095976,Theodore Roosevelt
381,1902-11-30,-3.850641773628939,Theodore Roosevelt
382,1902-12-31,-2.3058252427184405,Theodore Roosevelt
383,1903-01-31,5.093167701863355,Theodore Roosevelt
384,1903-02-28,-0.5910165484633653,Theodore Roosevelt
385,1903-03-31,-3.923900118906065,Theodore Roosevelt
386,1903-04-30,-4.084158415841585,Theodore Roosevelt
387,1903-05-31,-1.9354838709677464,Theodore Roosevelt
388,1903-06-30,-5.526315789473683,Theodore Roosevelt
389,1903-07-31,-4.596100278551534,Theodore Roosevelt
390,1903-08-31,-3.211678832116785,Theodore Roosevelt
391,1903-09-30,-2.4132730015082977,Theodore Roosevelt
392,1903-10-31,-3.2457496136012365,Theodore Roosevelt
393,1903-11-30,0.3194888178913812,Theodore Roosevelt
394,1903-12-31,4.617834394904459,Theodore Roosevelt
